Problem Number;Problem Name;Status;Difficulty;Tags
1123;Lowest Common Ancestor of Deepest Leaves;Finished;Medium,trees
1128;Number of Equivalent Domino Pairs;Finished;Easy,arrays
1131;Maximum of Absolute Value Expression;Finished;Medium,bit-manipulation,math
1137;N th Tribonacci Number;Finished;Easy
1138;Alphabet Board Path;Finished;Medium,hash-table,string
1161;Maximum Level Sum of a Binary Tree;Finished;Medium
1170;Compare Strings by Frequency of the Smallest Character;Finished;Easy,string,arrays
1175;Prime Arrangements;Finished;Easy,math
1189;Maximum Number of Balloons;Finished;Easy,hash-table,string
1190;Reverse Substrings Between Each Pair of Parentheses;Finished;Medium
1200;Minimum Absolute Difference;Finished;Easy,arrays
1207;Unique Number of Occurrences;Finished;Easy,hash-table
1217;Play with Chips;Finished;Easy,math,arrays
1221;Split a String in Balanced Strings;Finished;Easy,string
1232;Check If It Is a Straight Line;Finished;Easy,math,arrays
1233;Remove Sub Folders from the Filesystem;Finished;Medium,string,arrays
1247;Minimum Swaps to Make Strings Equal;Finished;Medium,string
1248;Count Number of Nice Subarrays;Finished;Medium,two-pointers
1252;Cells with Odd Values in a Matrix;Finished;Easy,arrays
1260;Shift 2D Grid;Finished;Easy,arrays
1261;Find Elements in a Contaminated Binary Tree;Finished;Medium,hash-table,trees
1266;Minimum Time Visiting All Points;Finished;Easy,arrays
1267;Count Servers that Communicate;Finished;Medium,arrays
1268;Search Suggestions System;Finished;Medium,string
1275;Find Winner on a Tic Tac Toe Game;Finished;Easy,arrays
1276;Number of Burgers with No Waste of Ingredients;Finished;Medium,math
1281;Subtract the Product and Sum of Digits of an Integer;Finished;Easy,math
1282;Group the People Given the Group Size They Belong To;Finished;Medium
1283;Find the Smallest Divisor Given a Threshold;Finished;Medium,binary-search
1287;Element Appearing More Than 25% In Sorted Array;Finished;Easy,arrays
1290;Convert Binary Number in a Linked List to Integer;Finished;Easy,bit-manipulation,linked-list
1295;Find Numbers with Even Number of Digits;Finished;Easy,arrays
1299;Replace Elements with Greatest Element on Right Side;Finished;Easy,arrays
1302;Deepest Leaves Sum;Finished;Medium,trees
1304;Find N Unique Integers Sum up to Zero;Finished;Easy,arrays
1305;All Elements in Two Binary Search Trees;Finished;Medium,sort,trees
1309;Decrypt String from Alphabet to Integer Mapping;Finished;Easy,string
1310;XOR Queries of a Subarray;Finished;Medium,bit-manipulation
1312;Minimum Insertion Steps to Make a String Palindrome;Finished;Hard,dynamic-programming
1313;Decompress Run Length Encoded List;Finished;Easy,arrays
